moduleCode,title,semesters
BSP2011,Asian Business Environments,[2]
BSP2701,Global Economy,"[1, 2]"
BSP3001A,Strategic Management,[2]
BSP3001B,Strategic Management,[2]
BSP3701A,Strategic Management,"[1, 2]"
BSP3701B,Strategic Management,"[1, 2]"
BSP3701C,Strategic Management,[1]
BSP3701D,Strategic Management,[1]
BSP4515,Managing Social Networks in Markets and Organizations,[2]
BSS4003A,SSIB: Innovation and Productivity,[2]
BSS4003B,Innovation and Productivity (with Econometrics),"[1, 2]"
BT1101,Introduction to Business Analytics,"[1, 2]"
BT2101,Econometrics Modeling for Business Analytics,"[1, 2]"
BT2102,Data Management and Visualisation,"[1, 2]"
BT2103,Optimization Methods in Business Analytics,"[1, 2]"
BT2201,Business Concepts and Metrics for Analytics,"[1, 2]"
BT3017,Feature Engineering for Machine Learning,[2]
BT3102,Computational Methods for Business Analytics,"[1, 2]"
BT3103,Application Systems Development for Business Analytics,"[1, 2]"
BT4010,Business Analytics Internship Programme,"[1, 2]"
BT4011,Business Analytics Capstone Industry Project,[1]
BT4012,Fraud Analytics,[1]
BT4013,Analytics for Capital Market Trading and Investment,[1]
BT4014,Analytics Driven Design of Adaptive Systems,[2]
BT4015,Geospatial Analytics,[1]
BT4016,Risk Analytics for Financial Services,[2]
BT4101,B.Sc. (Business Analytics) Dissertation,"[1, 2]"
BT4103,Business Analytics Capstone Project,"[1, 2]"
BT4211,Data-Driven Marketing,[2]
BT4212,Search Engine Optimization and Analytics,[1]
BT4221,Big Data Techniques and Technologies,[2]
BT4222,Mining Web Data for Business Insights,"[1, 2]"
BT4240,Machine Learning for Predictive Data Analytics,[1]
BT4301,Business Analytics Solutions Development and Deployment,"[1, 2]"
BT5110,Data Management and Warehousing,[1]
BT5126,Hands-on with Business Analytics,[2]
BT5151,Advanced Analytics and Machine Learning,[2]
BT5153,Applied Machine Learning for Business Analytics,[2]
BX5101,Business and the Environment,[2]
BZD6004,Applied Econometrics II,[2]
BZD6010,Seminar in Research Methodology,[1]
BZD6012,Experimental Methods for Behavioral Research,[2]
BZD6013,Psychological Theories in Consumer Research,[1]
CAH5101,Care of the Newborn & Common Paediatric Surgical Issues,[1]
CAH5102,Care of the Well Child,[1]
CAH5103,Acute Paediatrics,[1]
CAS5101,Theorizing from Asia,[1]
CAS5660,Independent Study,"[1, 2]"
CAS6101,Asian Studies in Asia,[1]
CAS6660,Independent Study Module,"[1, 2]"
CAS6770,Graduate Research Seminar,[2]
CDE2000,Creating Narratives,"[1, 2]"
